symbol,date,sentiment,n_headlines,dispersion,unknown_share
AXISBANK,2016-01-01,-0.11857092097246397,3,0.30404522422599695,0.7456933359305064
AXISBANK,2016-01-04,0.0043874680995941,1,0.0,0.9196920990943908
AXISBANK,2016-01-05,0.7250749133527279,1,0.0,0.2610135972499847
AXISBANK,2016-01-06,0.23506849259138113,2,0.6195151380498085,0.5571348071098328
AXISBANK,2016-01-07,0.3027277933821704,3,0.5494496949281004,0.6469277031719685
AXISBANK,2016-01-08,-0.01299247867427765,2,0.18668826001328323,0.8574852645397186
AXISBANK,2016-01-11,0.630709130782634,1,0.0,0.357189804315567
AXISBANK,2016-01-15,0.2636959347873926,1,0.0,0.6891418695449829
AXISBANK,2016-01-18,0.6908644968061708,4,0.2725958427493605,0.3022493156604469
AXISBANK,2016-01-19,0.0815249308943748,1,0.0,0.7725039720535278
AXISBANK,2016-01-20,0.517877002748719,2,0.6398700119316989,0.4742354815825819
AXISBANK,2016-01-21,0.9197442503646016,1,0.0,0.0756848081946373
AXISBANK,2016-01-22,-0.38035310406121425,2,0.8099048527961709,0.4189523346722126
AXISBANK,2016-01-25,0.9593365397886372,1,0.0,0.039618119597435
AXISBANK,2016-01-27,-0.14719944819808,1,0.0,0.7777403593063354
AXISBANK,2016-01-28,-0.0063067218288779,1,0.0,0.9696593284606934
AXISBANK,2016-01-29,-0.0420900599856395,2,0.0053085964671810894,0.9558152854442596
AXISBANK,2016-02-01,-0.1412404919974506,2,0.21841701178687034,0.831421822309494
AXISBANK,2016-02-02,0.96280538989231,1,0.0,0.0335279256105423
AXISBANK,2016-02-03,-0.0082073435187339,1,0.0,0.9806642532348632
AXISBANK,2016-02-05,0.8780550265219063,1,0.0,0.1172990202903747
AXISBANK,2016-02-08,0.10184454366875191,3,0.3528837016474076,0.7460533777872721
AXISBANK,2016-02-10,-0.0201183453900739,1,0.0,0.977592408657074
AXISBANK,2016-02-12,0.04745622165501115,2,0.018349486607078084,0.9013187885284424
AXISBANK,2016-02-16,-0.975413492640655,1,0.0,0.0244210716336965
AXISBANK,2016-02-18,-0.21383685991168022,3,0.46619806678024334,0.7030980587005615
AXISBANK,2016-02-19,0.2684229081496596,1,0.0,0.7015329599380493
AXISBANK,2016-02-22,0.07104213209822774,3,0.5267933415326282,0.5329596300919851
AXISBANK,2016-02-29,-0.3760369956144132,2,0.5404958129782806,0.4226532578468323
AXISBANK,2016-03-04,0.3343343306332826,1,0.0,0.6236472725868225
AXISBANK,2016-03-08,0.0205323582049459,2,0.008866121358956742,0.9404013156890868
AXISBANK,2016-03-10,0.17932428329368122,4,0.6741498241027039,0.41305574029684067
AXISBANK,2016-03-14,0.17450687568634746,2,0.019661100484004164,0.7609179615974426
AXISBANK,2016-03-16,-0.0931445655878633,1,0.0,0.9003610610961914
AXISBANK,2016-03-18,-0.0903950333595275,1,0.0,0.6072779893875122
AXISBANK,2016-03-21,-0.0827510114759206,1,0.0,0.8990612030029297
AXISBANK,2016-03-22,0.6953347965609282,2,0.2871230798305357,0.2915795370936394
AXISBANK,2016-03-23,0.8804028850281611,1,0.0,0.1157369092106819
AXISBANK,2016-03-28,0.40996001753956085,2,0.5800347685204174,0.5791490748524665
AXISBANK,2016-03-31,-0.0056569501757621,1,0.0,0.9769028425216676
AXISBANK,2016-04-01,0.27597019169479603,3,0.36679569013608765,0.6868753234545389
AXISBANK,2016-04-05,-0.9470676579512656,1,0.0,0.0518165454268455
AXISBANK,2016-04-06,-0.000273996964097,1,0.0,0.9649274349212646
AXISBANK,2016-04-08,-0.0030475780367851,1,0.0,0.9349374175071716
AXISBANK,2016-04-11,0.6318256265949458,1,0.0,0.3618150949478149
AXISBANK,2016-04-13,0.8038400486111641,1,0.0,0.0863654837012291
AXISBANK,2016-04-18,0.2927689170464873,1,0.0,0.6798784136772156
AXISBANK,2016-04-20,-0.006211765634361647,4,0.13462799757079985,0.8700523227453232
AXISBANK,2016-04-27,-0.0093282433226704,1,0.0,0.9619128108024596
AXISBANK,2016-04-28,0.0044905291870236,1,0.0,0.9695261716842652
AXISBANK,2016-04-29,-0.07741158269345756,2,0.08258777698652929,0.8692191243171692
AXISBANK,2016-05-02,0.05027095787227154,2,0.7988892277163384,0.32311873883008957
AXISBANK,2016-05-03,0.902186643332243,1,0.0,0.0910741910338401
AXISBANK,2016-05-04,0.18608771564322524,2,1.1220195482028643,0.20108330994844437
AXISBANK,2016-05-05,0.0607678797096014,1,0.0,0.8808075785636902
AXISBANK,2016-05-09,0.6086797080934048,1,0.0,0.3231919109821319
AXISBANK,2016-05-10,-0.08765885730584465,3,0.14727503302626016,0.8377941846847534
AXISBANK,2016-05-11,0.9159113850910215,1,0.0,0.0790091529488563
AXISBANK,2016-05-12,-0.6492153223371133,1,0.0,0.3481934368610382
AXISBANK,2016-05-13,0.562727176817134,1,0.0,0.4330693781375885
AXISBANK,2016-05-16,0.28905249666422606,2,0.4590741964023367,0.6446611732244492
AXISBANK,2016-05-17,0.8834599638357759,1,0.0,0.106135569512844
AXISBANK,2016-05-24,0.163224309682846,1,0.0,0.8233914375305176
AXISBANK,2016-05-25,0.0900636240839958,1,0.0,0.7277573347091675
AXISBANK,2016-05-26,0.8940189342247322,2,0.014167930660643396,0.09494577348232265
AXISBANK,2016-05-30,0.7005422729998827,1,0.0,0.2858031392097473
AXISBANK,2016-06-01,0.5015005078166723,2,0.3835145394309898,0.24865353107452393
AXISBANK,2016-06-03,0.27822158287744975,2,0.40086136255479726,0.7068194001913071
AXISBANK,2016-06-06,-0.0195473134517669,1,0.0,0.8851525187492371
AXISBANK,2016-06-07,0.8743713404983282,1,0.0,0.1205461099743843
AXISBANK,2016-06-13,-0.01730429939925665,2,0.020513047824816423,0.9791713356971741
AXISBANK,2016-06-14,-0.6585736870765686,1,0.0,0.1595773696899414
AXISBANK,2016-06-15,0.3473969707265496,1,0.0,0.6402441263198853
AXISBANK,2016-06-17,0.25030355621129274,2,0.6828179857120056,0.45155155658721924
AXISBANK,2016-06-22,-0.2222164534032344,1,0.0,0.6806938052177429
AXISBANK,2016-06-24,-0.4189869314432144,1,0.0,0.3032954633235931
AXISBANK,2016-06-29,0.39440539093629934,2,0.7690642551609456,0.41614994592964644
AXISBANK,2016-06-30,-0.9569229276967236,1,0.0,0.0420664623379707
AXISBANK,2016-07-05,0.9482765551656483,1,0.0,0.0495347566902637
AXISBANK,2016-07-07,0.2908090121927671,4,0.47495634605175713,0.6278628306463361
AXISBANK,2016-07-11,0.8017139444127679,1,0.0,0.180833637714386
AXISBANK,2016-07-14,-0.0057541408459655,1,0.0,0.9931809306144714
AXISBANK,2016-07-15,-0.0070365762803703,1,0.0,0.9906794428825378
AXISBANK,2016-07-21,-0.0101991393603384,1,0.0,0.9826016426086426
AXISBANK,2016-07-22,-0.0211859364062547,1,0.0,0.9508273601531982
AXISBANK,2016-07-25,0.3099532332853414,4,0.6892102085545976,0.39227010868489737
AXISBANK,2016-07-26,0.07754607591778034,2,0.09664126561793933,0.8490577340126038
AXISBANK,2016-07-27,0.1583839543163776,1,0.0,0.7892636060714722
AXISBANK,2016-08-01,0.40894713677698746,2,0.7405947591275462,0.4692788701504469
AXISBANK,2016-08-08,-0.4925821991637349,2,0.6402707816529285,0.48887706361711025
AXISBANK,2016-08-11,0.8137224141974002,1,0.0,0.1820389032363891
AXISBANK,2016-08-12,-0.2432312276214361,2,0.3406496877455762,0.6797573268413544
AXISBANK,2016-08-17,0.0670010247267783,2,0.0988185843243577,0.8894439041614532
AXISBANK,2016-08-18,0.00850791367702185,2,0.024434863609862748,0.9605249166488647
AXISBANK,2016-08-19,0.0846071648411453,2,0.6880854310088127,0.487312376499176
AXISBANK,2016-08-22,0.2166720405220985,1,0.0,0.5544808506965637
AXISBANK,2016-08-23,0.4363252080511302,2,0.3762259199526015,0.44313032925128937
AXISBANK,2016-08-25,0.1092968955636024,1,0.0,0.7211220264434814
AXISBANK,2016-08-26,0.07167082431260495,2,0.12578615462954731,0.876232385635376
AXISBANK,2016-08-29,0.12444748450070624,2,0.17987291210663542,0.7729680240154266
AXISBANK,2016-08-30,0.0145698655396699,1,0.0,0.9696680307388306
AXISBANK,2016-09-01,0.048068825271911905,2,0.07967331566191972,0.9261314570903778
AXISBANK,2016-09-02,-0.0185144522693008,3,0.019055876862057636,0.9589600165685018
AXISBANK,2016-09-06,0.2204079289920628,5,0.39381627508953687,0.6265659898519516
AXISBANK,2016-09-07,-0.0109823383390903,1,0.0,0.9382244944572448
AXISBANK,2016-09-08,-0.0144943092018365,1,0.0,0.9532124400138856
AXISBANK,2016-09-09,-0.0816366644576191,1,0.0,0.890882670879364
AXISBANK,2016-09-12,0.41023717657662934,2,0.5870822191218146,0.5556343272328377
AXISBANK,2016-09-14,0.9633067014510744,1,0.0,0.0351171493530273
AXISBANK,2016-09-19,0.3179152222146513,4,0.47937313511596746,0.5244696512818336
AXISBANK,2016-09-21,0.3942149521317333,2,0.7846694430965002,0.4318555183708667
AXISBANK,2016-09-23,0.9155837488360704,1,0.0,0.0766624733805656
AXISBANK,2016-09-26,0.2017927455405394,3,0.3014440203430703,0.7836294174194336
AXISBANK,2016-09-29,0.1465337295085191,1,0.0,0.8189378976821899
AXISBANK,2016-09-30,-0.1010632052784785,2,0.1293703664201236,0.8932021260261536
AXISBANK,2016-10-03,0.10381945222616196,2,0.15487612333409526,0.8292581737041473
AXISBANK,2016-10-06,0.29120800225064153,2,0.3515454363634184,0.6948069930076599
AXISBANK,2016-10-10,-0.1687339600175619,1,0.0,0.8196898102760315
AXISBANK,2016-10-13,0.06610479357186705,2,0.11110517811987869,0.9005114436149597
AXISBANK,2016-10-19,-0.2082876954227686,2,0.5010093110001133,0.559056356549263
AXISBANK,2016-10-21,0.3234673372935504,2,0.5070119260804017,0.6374693065881729
AXISBANK,2016-10-24,-0.5581443919800222,2,0.4297159905012501,0.42270450294017786
AXISBANK,2016-10-26,-0.2851448059082031,2,0.6483083068361455,0.523786149919033
AXISBANK,2016-10-27,0.8848688206635416,1,0.0,0.1031258627772331
AXISBANK,2016-11-01,-0.5958316950127482,1,0.0,0.3894494771957397
AXISBANK,2016-11-02,-0.8451331567484885,1,0.0,0.1496364623308181
AXISBANK,2016-11-03,0.022672020830214048,2,0.03962460065480687,0.8429966270923615
AXISBANK,2016-11-07,0.03638058435171843,5,0.4542561965710738,0.6248327195644379
AXISBANK,2016-11-09,-0.0655922777950763,1,0.0,0.8727818131446838
AXISBANK,2016-11-11,-0.0089449881343171,4,0.721941695349187,0.3482579318806529
AXISBANK,2016-11-15,0.1873573802877218,2,0.2872476850125245,0.7251065075397491
AXISBANK,2016-11-21,0.21465971875780573,3,0.687409322610062,0.2976545492808024
AXISBANK,2016-11-22,0.5421142603736371,2,0.27745585784613636,0.40210331976413727
AXISBANK,2016-11-25,0.0656863721087575,1,0.0,0.9133761525154114
AXISBANK,2016-11-28,0.2249266393482685,1,0.0,0.7381166219711304
AXISBANK,2016-11-29,0.0093824751675128,1,0.0,0.8996272683143616
AXISBANK,2016-12-02,-0.0051664877682924,2,0.025814246655744087,0.9508954882621766
AXISBANK,2016-12-07,-0.873358559794724,1,0.0,0.1240521967411041
AXISBANK,2016-12-08,0.34196581656578934,2,0.5090505969663791,0.6253360211849213
AXISBANK,2016-12-09,-0.0813136510550975,1,0.0,0.8024306297302246
AXISBANK,2016-12-12,0.05679023308524242,6,0.3911581937483517,0.747980942328771
AXISBANK,2016-12-14,-0.0160437894519418,1,0.0,0.9773337244987488
AXISBANK,2016-12-16,-0.4107520913821645,4,0.7857011274310381,0.18850670568644995
AXISBANK,2016-12-19,-0.5511306304251775,2,0.3979558200630956,0.445457860827446
AXISBANK,2016-12-20,-0.4852379590738565,2,0.5679621162438409,0.5080895610153674
AXISBANK,2016-12-28,-0.6081804437562823,1,0.0,0.3742180168628692
AXISBANK,2016-12-29,-0.0358504578471183,1,0.0,0.7686928510665894
AXISBANK,2017-01-02,0.4900171877816319,1,0.0,0.486379474401474
AXISBANK,2017-01-03,0.35292438603937626,2,0.7031695727468076,0.4786902889609337
AXISBANK,2017-01-04,0.5446389499120414,2,0.15889154249523682,0.44114428758621216
AXISBANK,2017-01-06,0.32625651801936334,2,0.4669397384067547,0.6405605375766754
AXISBANK,2017-01-09,-0.22554579578960934,3,0.43467208242202954,0.728105386098226
AXISBANK,2017-01-11,0.0030630957335233,1,0.0,0.9642689824104308
AXISBANK,2017-01-12,0.950167387491092,1,0.0,0.0445631518959999
AXISBANK,2017-01-16,0.5121678027013937,3,0.37882549934203746,0.4674133062362671
AXISBANK,2017-01-17,0.7848596088588238,1,0.0,0.2003175169229507
AXISBANK,2017-01-18,0.25348392747885856,3,0.655894805957207,0.5425912213977426
