horizon_days,n_periods,years,target_sharpe,power
1,1911,7.583333333333333,0.0,0.03666666666666667
1,1911,7.583333333333333,0.2,0.11333333333333333
1,1911,7.583333333333333,0.4,0.2633333333333333
1,1911,7.583333333333333,0.6,0.47
1,1911,7.583333333333333,0.8,0.6566666666666666
1,1911,7.583333333333333,1.0,0.77
1,1911,7.583333333333333,1.2,0.8966666666666666
1,1911,7.583333333333333,1.5,0.9533333333333334
1,1911,7.583333333333333,2.0,0.99
1,1911,7.583333333333333,2.5,1.0
1,1911,7.583333333333333,3.0,1.0
5,382,7.57936507936508,0.0,0.043333333333333335
5,382,7.57936507936508,0.2,0.09333333333333334
5,382,7.57936507936508,0.4,0.27
5,382,7.57936507936508,0.6,0.41333333333333333
5,382,7.57936507936508,0.8,0.62
5,382,7.57936507936508,1.0,0.7666666666666667
5,382,7.57936507936508,1.2,0.8433333333333334
5,382,7.57936507936508,1.5,0.9466666666666667
5,382,7.57936507936508,2.0,0.99
5,382,7.57936507936508,2.5,1.0
5,382,7.57936507936508,3.0,1.0
20,95,7.5396825396825395,0.0,0.04
20,95,7.5396825396825395,0.2,0.10666666666666667
20,95,7.5396825396825395,0.4,0.26666666666666666
20,95,7.5396825396825395,0.6,0.46
20,95,7.5396825396825395,0.8,0.6666666666666666
20,95,7.5396825396825395,1.0,0.8166666666666667
20,95,7.5396825396825395,1.2,0.9266666666666666
20,95,7.5396825396825395,1.5,0.98
20,95,7.5396825396825395,2.0,1.0
20,95,7.5396825396825395,2.5,1.0
20,95,7.5396825396825395,3.0,1.0
