variant,universe_size,n_oos,accuracy,auc,mcc,periods,sharpe_net,ci_low,ci_high,sharpe_gross,cagr,max_dd,turnover,cost_drag,bh_sharpe,vs_bh,vs_bh_p
"E0 GBM absolute h=1, narrow (10)",10,19110,0.4998430141287284,0.4991035596675096,-0.0042943226452997725,1911,-0.8983684502482175,-1.59926490906777,-0.2071217148461138,0.33270658599834935,-0.10397475360732944,-0.5977002809133092,130.43819989534276,0.21017530917446361,0.5782652626461245,-1.476633712894342,0.0
"E1 GBM absolute h=1, wide (40)",40,76439,0.5043367914284593,0.5056503157129606,0.006141804581935003,1911,-1.1386536010121073,-1.8320887799167356,-0.42419183890242934,0.7132252295979031,-0.14484215501591657,-0.71031595523659,201.1039513729351,0.32403380526469877,0.7065194873244823,-1.8451730883365896,0.0
"E1b GBM cross-sectional h=1, wide (40)",40,76439,0.5076858671620508,0.5109057136068758,0.015436807221559988,1911,-1.2452471204538982,-1.9495246262287922,-0.49612406494403744,0.8159943637956044,-0.1667041273849602,-0.7599221647917478,230.43400026707297,0.371291142624205,0.7065194873244823,-1.9517666077783806,0.0
"E2 GBM cross-sectional h=5, wide (40)",40,76279,0.505565096553442,0.5053867354603719,0.011130499606394142,382,0.42018658274936893,-0.24731144153095797,1.1885484881140391,0.8551302104212759,0.12269068477708389,-0.31954031073966815,46.41744544947815,0.074798890249739,0.7196565639256005,-0.2994699811762316,0.007333333333333333
"E2b GBM cross-sectional h=20, wide (40)",40,75679,0.5090315675418544,0.5153159741783467,0.0181119699754255,95,0.5890633512815042,-0.10477006602897276,1.518844707991225,0.7151380461445991,0.15979473341779027,-0.2893741585415802,14.332047624967132,0.023102115135006342,0.7225815038410486,-0.13351815255954436,0.14333333333333334
