horizon_days,n_periods,years,mde_80pct_power,mde_50pct_power
1,1911,7.583333333333333,1.0473684210526317,0.6321428571428571
5,382,7.57936507936508,1.0869565217391304,0.6838709677419355
20,95,7.5396825396825395,0.9777777777777779,0.6387096774193548
