strategy,cost_schedule,sharpe_net,ci_low,ci_high,cagr,cost_drag,turnover
Tech-only (LSTM),delivery,-0.27904291745727056,-1.0253951242577497,0.5224158136273875,0.0008927291477611732,0.09157845210633175,56.83160648874936
Tech-only (LSTM),intraday,0.05372919102229685,-0.7169927722028419,0.8758542320068438,0.0555404127172896,0.03841650443495552,56.83160648874936
Buy&Hold,delivery,0.5782652913807637,-0.13675357286857837,1.345037511499126,0.16186855240361475,0.0002223594725274725,0.13186813186813187
Buy&Hold,intraday,0.5790867970729296,-0.13608912160575684,1.3461006904967503,0.16204329646292503,7.466716483516483e-05,0.13186813186813187
MACD,delivery,0.019730250900704516,-0.6493728963886766,0.6453548656793731,0.05066395420864289,0.06890321743233908,42.762009419152285
MACD,intraday,0.2789183155095825,-0.3750513281915719,0.8972384818051554,0.0935268439896606,0.028910980383673474,42.762009419152285
RSI(14),delivery,0.4239084369529075,-0.3155812858068852,1.1845944366621648,0.12294765874440294,0.0068964268565149135,4.274097331240189
RSI(14),intraday,0.4475019204071904,-0.29260722231465336,1.212663432265056,0.127469362057113,0.002875750247409733,4.274097331240189
KDJ+RSI,delivery,-0.3435039040893391,-0.963615417944712,0.31043172744371494,-0.0005385759261075096,0.08196708009712193,50.86635269492414
KDJ+RSI,intraday,-0.00829656277992153,-0.6400105302905691,0.6966141576400154,0.048179538280427314,0.03438264472297227,50.86635269492414
MeanReversion,delivery,-1.407955856961501,-2.052094134132252,-0.7720412258334967,-0.18098139970431504,0.3601569263807431,223.5236002093145
MeanReversion,intraday,-0.1966437490651958,-0.8709536623192523,0.512068517528137,0.00952665657453089,0.1511379645806384,223.5236002093145
