variant,n_oos,accuracy,auc,mcc,periods,sharpe_net,ci_low,ci_high,sharpe_gross,cagr,max_dd,turnover,cost_drag,bh_sharpe,vs_bh,vs_bh_p
B0 absolute h=1 (as reported),19110,0.5026164311878598,0.5015341279925388,0.006445020125628592,1911,-0.051791065583724885,-0.7635040860392001,0.709953981271809,0.12151728127753304,0.03747450352285453,-0.44946499026842324,17.381266352694926,0.028015038370277346,0.578265264345821,-0.630056329929546,0.0
B1 absolute h=5,19070,0.47891976927110647,0.47559195955299666,-0.03626418484921075,382,0.1006644730202051,-0.5826709364436389,0.8945885370584801,0.22649891547713327,0.06268865131315304,-0.4148422270168226,13.171623036649214,0.02123037772921466,0.5952600396822232,-0.4945955666620181,0.0006666666666666666
B2 absolute h=20,18920,0.47346723044397465,0.4759226648918713,-0.02075538388150168,95,0.14232134670190744,-0.4188547225195152,0.882304824071619,0.20719206601983192,0.06929617398586152,-0.3294024786151122,7.081473684210526,0.011419801886736842,0.5726511063462416,-0.4303297596443342,0.05
C1 cross-sectional h=1,19110,0.504029304029304,0.5040158809568991,0.008067401294992858,1911,0.17182298778980182,-0.536555829615782,0.9014386823906417,0.33453365135653856,0.07573517704685995,-0.4114524674654587,17.405546834118265,0.028054159713239143,0.578265264345821,-0.4064422765560192,0.017333333333333333
C1b cross-sectional h=5,19070,0.5040377556371264,0.5020553922030969,0.008097739165493787,382,0.274113519189576,-0.43077327237020085,1.0890197290153019,0.42302858760033457,0.09342359380287846,-0.3857081789132568,14.921884816753925,0.024048465958534028,0.5952600396822232,-0.3211465204926472,0.082
C1c cross-sectional h=20,18920,0.49471458773784355,0.4887018446424022,-0.01073866443111531,95,0.21416143916766406,-0.40740711031723453,0.8771572020338154,0.30431008216442884,0.08292905471933021,-0.2632766473030401,8.94378947368421,0.01442041350694737,0.5726511063462416,-0.35848966717857755,0.04733333333333333
