variant,n,slope_bps,t_stat,p_value,r_squared,spread_bps,spread_p,mean_sentiment,sd_sentiment
A0 baseline (as reported),15180,0.05385578339660187,0.01774124980998753,0.9858455064215701,2.0737378988882075e-08,-1.00720171294986,0.7814592768454016,0.2961774698549083,0.48506157487608076
A1 cross-sectional de-mean,15180,0.29735716246687416,0.08134167565875554,0.9351713039081136,4.359247143689666e-07,-2.5380880140466577,0.4783287046149744,0.0,0.40287388276887076
A2 trailing per-symbol de-mean,15180,1.5479552526455513,0.49919762041306204,0.6176474060302047,1.641811654104096e-05,1.1162109157108264,0.7587068049715223,0.0020891951733804565,0.47482369842799976
A2b both de-means,15180,0.03235544506032119,0.008750034591092451,0.9930186865775139,5.044347408031594e-09,-0.9041301653576523,0.8002629491907807,2.337311630789803e-19,0.3982436541304205
A3 min 3 headlines,4082,8.645242506256547,1.1391803682140271,0.254694810219299,0.00031797040955316476,9.567491705867205,0.1781904673815977,0.3135658437322041,0.37962602374287
"A1+A3 cross-sectional, min 3",4082,11.959570081389064,1.1071993516816094,0.268273019155689,0.0003003730833048098,10.710638625342122,0.12184613539827166,8.677854613582073e-19,0.2670632304917087
