strategy,vs,d_sharpe,ci_low,ci_high,p_raw,p_holm,significant
RSI(14),Buy&Hold,-0.1543568931215153,-0.514064443359102,0.24158062231031183,0.424,0.5752,False
Tech+Regime,Buy&Hold,-0.2346516841237969,-0.6873853867294593,0.23636465870190618,0.2876,0.5752,False
Tech+Sent+Regime,Buy&Hold,-0.40147463987431625,-0.8094694672603747,0.0072189351577524085,0.0536,0.2048,False
Full+Debate,Buy&Hold,-0.44684017393563225,-0.8146603486357552,-0.1026659649146237,0.0132,0.066,False
MACD,Buy&Hold,-0.5585355154374313,-1.141850321514652,0.001537441104491695,0.0512,0.2048,False
KDJ+RSI,Buy&Hold,-0.921768266406804,-1.450373254026184,-0.437076531285339,0.0008,0.0056,True
Tech-only,Buy&Hold,-0.9906350589804059,-1.6040841415537952,-0.28021037789898273,0.0076,0.0456,True
MeanReversion,Buy&Hold,-1.9862220172554925,-2.4612614847358563,-1.6023189166250862,0.0,0.0,True
Tech+Sentiment,Buy&Hold,-2.667877699449474,-3.278410081153778,-2.1280121894692607,0.0,0.0,True
