strategy,vs,d_sharpe,ci_low,ci_high,p_raw,p_holm,significant
Tech+Regime,Tech-only,0.755983374856609,-0.1997800186009554,1.5710534291339293,0.1248,0.37439999999999996,False
Tech+Sent+Regime,Tech-only,0.5891604191060897,-0.3250184121518366,1.3658628891157825,0.228,0.456,False
Full+Debate,Tech-only,0.5437948850447737,-0.3207630463799649,1.2785855794830754,0.24,0.456,False
Tech+Sentiment,Tech-only,-1.6772426404690681,-2.4623152125656813,-1.0431344246736889,0.0,0.0,True
