architecture,seeds,accuracy_mean,accuracy_std,auc_mean,mcc_mean,z_vs_chance,p_vs_chance
LSTM,3,0.5045351473922902,0.0018898773041383767,0.5049499327628669,0.007565941395658442,1.2538677878178641,0.20989006501948193
LSTM-TAL,3,0.5024071166928311,0.0005310775282623064,0.5016669688615679,0.005634556584050702,0.6655144412264467,0.5057215099786316
PLSTM-TAL,3,0.49980812837955696,0.004759987576561753,0.5008149348017651,0.000695588898428246,-0.05304825256152301,0.9576934618256454
PLSTM,3,0.4995639281353567,0.00031542196616125297,0.4998988904172272,-0.001834774115373114,-0.12056421036710055,0.9040362179890722
