strategy,vs,d_sharpe,ci_low,ci_high,p_raw,p_holm,significant
RSI(14),Buy&Hold,-0.1543568931215153,-0.514064443359102,0.24158062231031183,0.424,0.424,False
LSTM-TAL,Buy&Hold,-0.4363791832978945,-0.8522329316975836,-0.044698048311294855,0.0244,0.0732,False
MACD,Buy&Hold,-0.5585355154374313,-1.141850321514652,0.001537441104491695,0.0512,0.1024,False
PLSTM-TAL,Buy&Hold,-0.6300563238128499,-1.0350896737336353,-0.2759039443922666,0.0,0.0,True
PLSTM,Buy&Hold,-0.7515262150830555,-1.1034614277292742,-0.434889247156681,0.0,0.0,True
LSTM,Buy&Hold,-0.8573081818030917,-1.2358930981593834,-0.5082856366782671,0.0,0.0,True
KDJ+RSI,Buy&Hold,-0.921768266406804,-1.450373254026184,-0.437076531285339,0.0008,0.0032,True
RandomControl,Buy&Hold,-1.958351635780271,-2.38818984272974,-1.5724666824356475,0.0,0.0,True
MeanReversion,Buy&Hold,-1.9862220172554925,-2.4612614847358563,-1.6023189166250862,0.0,0.0,True
